Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting,HoloPleisto
284030,Kozushima,Japan,Lava dome(s),Eruption Observed,838 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.219,139.153,572,Rhyolite,Subduction zone / Oceanic crust (< 15 km),Holocene
284040,Miyakejima,Japan,Stratovolcano,Eruption Observed,2010 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.094,139.526,775,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km),Holocene
284041,Mikurajima,Japan,Stratovolcano,Eruption Dated,4100 BCE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",33.874,139.602,851,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km),Holocene
284042,Kurose Hole,Japan,Submarine,Evidence Uncertain,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",33.4,139.68,-107,Dacite,Subduction zone / Oceanic crust (< 15 km),Holocene
284050,Hachijojima,Japan,Stratovolcano(es),Eruption Observed,1606 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",33.137,139.766,854,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km),Holocene
284060,Aogashima,Japan,Stratovolcano,Eruption Observed,1785 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",32.458,139.759,423,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km),Holocene
284061,Kita-Bayonnaise,Japan,Submarine,Evidence Uncertain,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",32.1,139.85,-360,Rhyolite,Subduction zone / Oceanic crust (< 15 km),Holocene
284070,Myojinsho,Japan,Submarine,Eruption Observed,1970 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",31.888,139.918,11,Dacite,Subduction zone / Oceanic crust (< 15 km),Holocene
284080,Sumisujima,Japan,Submarine,Eruption Observed,1916 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",31.44,140.051,136,Dacite,Subduction zone / Oceanic crust (< 15 km),Holocene
284090,Izu-Torishima,Japan,Stratovolcano,Eruption Observed,2002 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",30.484,140.303,394,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km),Holocene
284091,Sofugan,Japan,Stratovolcano,Evidence Uncertain,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",29.794,140.342,99,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km),Holocene
284093,Suiyo Seamount,Japan,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",28.575,140.633,-991,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284094,Mokuyo Seamount,Japan,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",28.327,140.572,-933,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284095,Doyo Seamount,Japan,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",27.68,140.8,-590,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown,Holocene
284096,Nishinoshima,Japan,Caldera,Eruption Observed,2020 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",27.247,140.874,25,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284097,Kaikata Seamount,Japan,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",26.667,140.929,-165,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284100,Kaitoku Seamount,Japan,Submarine,Eruption Observed,1984 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",26.127,141.102,-95,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown,Holocene
284110,Kita-Ioto,Japan,Stratovolcano,Eruption Observed,1945 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",25.424,141.284,792,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown,Holocene
284120,Ioto,Japan,Caldera,Eruption Observed,2012 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",24.751,141.289,169,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Crustal thickness unknown,Holocene
284121,Kita-Fukutokutai,Japan,Submarine,Eruption Observed,1954 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",24.417,141.417,-73,No Data (checked),Subduction zone / Crustal thickness unknown,Holocene
284130,Fukutoku-Oka-no-Ba,Japan,Submarine,Eruption Observed,2010 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",24.285,141.481,-29,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Crustal thickness unknown,Holocene
284131,Minami-Hiyoshi,Japan,Submarine,Eruption Observed,1975 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",23.5,141.935,-107,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Crustal thickness unknown,Holocene
284132,Nikko,Japan,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",23.078,142.326,-392,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown,Holocene
284133,Fukujin,United States,Submarine,Eruption Observed,1974 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.93,143.47,-217,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284134,Kasuga 1,United States,Submarine,Eruption Observed,1959 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.765,143.71,-598,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284135,Kasuga 2,United States,Submarine,Evidence Credible,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.6,143.637,-274,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown,Holocene
284136,NW Eifuku,United States,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.485,144.043,-1535,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown,Holocene
284137,Daikoku,United States,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.324,144.194,-323,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284140,Farallon de Pajaros,United States,Stratovolcano,Eruption Observed,1967 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.546,144.893,337,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284141,Ahyi,United States,Submarine,Eruption Dated,2014 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.42,145.03,-75,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284142,Supply Reef,United States,Submarine,Eruption Dated,1989 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.13,145.1,-8,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284143,Maug Islands,United States,Stratovolcano,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.02,145.22,227,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown,Holocene
284150,Asuncion,United States,Stratovolcano,Eruption Observed,1906 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",19.671,145.406,857,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284160,Agrigan,United States,Stratovolcano,Eruption Observed,1917 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",18.77,145.67,965,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown,Holocene
284170,Pagan,United States,Stratovolcano(es),Eruption Observed,2012 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",18.13,145.8,570,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown,Holocene
284180,Alamagan,United States,Stratovolcano,Eruption Dated,870 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",17.6,145.83,744,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284190,Guguan,United States,Stratovolcano,Eruption Observed,1883 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",17.307,145.845,287,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284191,Zealandia Bank,United States,Stratovolcano,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",16.88,145.85,0,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown,Holocene
284192,Sarigan,United States,Stratovolcano,Evidence Credible,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",16.708,145.78,538,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284193,South Sarigan Seamount,United States,Submarine,Eruption Observed,2010 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",16.58,145.78,-184,No Data (checked),Subduction zone / Crustal thickness unknown,Holocene
284200,Anatahan,United States,Stratovolcano,Eruption Observed,2008 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",16.35,145.67,790,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown,Holocene
284201,East Diamante,United States,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",15.93,145.67,-127,Dacite,Subduction zone / Crustal thickness unknown,Holocene
284202,Ruby,United States,Submarine,Eruption Observed,1995 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",15.62,145.57,-230,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown,Holocene
284210,Esmeralda Bank,United States,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",15,145.25,-43,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown,Holocene
284211,NW Rota-1,United States,Submarine,Eruption Observed,2010 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",14.601,144.775,-517,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown,Holocene
284220,Forecast Seamount,United States,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",13.4,143.92,-1456,No Data (checked),Subduction zone / Crustal thickness unknown,Holocene
284230,Seamount X,United States,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",13.25,144.02,-1230,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown,Holocene
284305,Mariana Back-Arc Segment at 15.5°N,United States,Submarine,Eruption Dated,2015 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",15.406,144.506,-4100,,Subduction zone / Oceanic crust (< 15 km),Holocene
285010,Oshima-Oshima,Japan,Stratovolcano,Eruption Observed,1790 CE,"Japan, Taiwan, Marianas",Hokkaido,41.51,139.367,732,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km),Holocene
285011,Esan,Japan,Lava dome(s),Eruption Observed,1874 CE,"Japan, Taiwan, Marianas",Hokkaido,41.805,141.166,618,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
285020,Hokkaido-Komagatake,Japan,Stratovolcano,Eruption Observed,2000 CE,"Japan, Taiwan, Marianas",Hokkaido,42.063,140.677,1131,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
285030,Toya,Japan,Stratovolcano,Eruption Observed,2001 CE,"Japan, Taiwan, Marianas",Hokkaido,42.544,140.839,733,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km),Holocene
285031,Niseko,Japan,Stratovolcano(es),Eruption Dated,4900 BCE,"Japan, Taiwan, Marianas",Hokkaido,42.875,140.659,1308,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
285032,Yoteizan,Japan,Stratovolcano,Eruption Dated,1050 BCE,"Japan, Taiwan, Marianas",Hokkaido,42.827,140.812,1888,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
285034,Kuttara,Japan,Stratovolcano(es),Eruption Dated,1820 CE,"Japan, Taiwan, Marianas",Hokkaido,42.491,141.16,549,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km),Holocene
285040,Shikotsu,Japan,Caldera,Eruption Observed,1979 CE,"Japan, Taiwan, Marianas",Hokkaido,42.688,141.38,1320,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
285041,Rishirizan,Japan,Stratovolcano,Eruption Dated,5830 BCE,"Japan, Taiwan, Marianas",Hokkaido,45.179,141.242,1721,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
285050,Tokachidake,Japan,Stratovolcano(es),Eruption Observed,2004 CE,"Japan, Taiwan, Marianas",Hokkaido,43.418,142.686,2077,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
285060,Taisetsuzan,Japan,Stratovolcano(es),Eruption Dated,1739 CE,"Japan, Taiwan, Marianas",Hokkaido,43.664,142.854,2291,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
285061,Maruyama,Japan,Stratovolcano(es),Eruption Observed,1898 CE,"Japan, Taiwan, Marianas",Hokkaido,43.418,143.031,2013,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
285070,Akan,Japan,Caldera,Eruption Observed,2008 CE,"Japan, Taiwan, Marianas",Hokkaido,43.384,144.013,1499,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
285080,Kussharo,Japan,Caldera,Eruption Dated,1320 CE,"Japan, Taiwan, Marianas",Hokkaido,43.615,144.427,574,Dacite,Subduction zone / Continental crust (>25 km),Holocene
285081,Mashu,Japan,Caldera,Eruption Dated,1080 CE,"Japan, Taiwan, Marianas",Hokkaido,43.572,144.561,857,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
285082,Rausudake,Japan,Stratovolcano,Eruption Dated,1800 CE,"Japan, Taiwan, Marianas",Hokkaido,44.076,145.122,1660,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
285083,Tenchozan,Japan,Crater rows,Eruption Dated,Unknown,"Japan, Taiwan, Marianas",Hokkaido,44.044,145.086,1046,,,Holocene
285090,Shiretoko-Iozan,Japan,Stratovolcano,Eruption Observed,1936 CE,"Japan, Taiwan, Marianas",Hokkaido,44.133,145.161,1562,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
290010,Tomariyama [Golovnin],Japan - administered by Russia,Caldera,Eruption Observed,1848 CE,Kuril Islands,Kuril Islands,43.844,145.504,535,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290020,Raususan [Mendeleev],Japan - administered by Russia,Stratovolcano,Eruption Observed,1880 CE,Kuril Islands,Kuril Islands,43.979,145.733,882,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290021,Ruruidake [Smirnov],Japan - administered by Russia,Stratovolcano,Evidence Credible,Unknown,Kuril Islands,Kuril Islands,44.454,146.139,1486,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290030,Chachadake [Tiatia],Japan - administered by Russia,Stratovolcano,Eruption Observed,1981 CE,Kuril Islands,Kuril Islands,44.353,146.252,1822,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km),Holocene
290040,Berutarubesan [Berutarube],Japan - administered by Russia,Stratovolcano,Evidence Credible,Unknown,Kuril Islands,Kuril Islands,44.462,146.932,1221,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290041,Moekeshiwan [Lvinaya Past],Japan - administered by Russia,Stratovolcano,Eruption Dated,7480 BCE,Kuril Islands,Kuril Islands,44.608,146.994,528,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290050,Etorofu-Atosanupuri [Atosanupuri],Japan - administered by Russia,Stratovolcano,Eruption Observed,1932 CE,Kuril Islands,Kuril Islands,44.808,147.131,1206,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290060,Nishihitokappuyama [Bogatyr Ridge],Japan - administered by Russia,Stratovolcano,Evidence Credible,Unknown,Kuril Islands,Kuril Islands,44.833,147.342,1634,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290061,Unnamed,Japan - administered by Russia,Submarine,Evidence Uncertain,Unknown,Kuril Islands,Kuril Islands,45.022,147.019,-195,No Data (checked),Subduction zone / Intermediate crust (15-25 km),Holocene
290070,Etorofu-Yakeyama [Grozny Group],Japan - administered by Russia,Complex(es),Eruption Observed,2013 CE,Kuril Islands,Kuril Islands,45.012,147.871,1158,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290072,Odamoisan [Tebenkov],Japan - administered by Russia,Stratovolcano,Evidence Uncertain,Unknown,Kuril Islands,Kuril Islands,45.028,147.918,1208,,Subduction zone / Intermediate crust (15-25 km),Holocene
290080,Sashiusudake [Baransky],Japan - administered by Russia,Stratovolcano,Eruption Observed,1951 CE,Kuril Islands,Kuril Islands,45.1,148.019,1125,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290090,Chirippusan [Chirip],Japan - administered by Russia,Stratovolcano(es),Eruption Observed,1860 CE,Kuril Islands,Kuril Islands,45.338,147.92,1587,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km),Holocene
290091,Rucharuyama [Golets-Tornyi Group],Japan - administered by Russia,Pyroclastic cone(s),Evidence Uncertain,Unknown,Kuril Islands,Kuril Islands,45.25,148.35,442,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290100,Moyorodake [Medvezhia],Japan - administered by Russia,Stratovolcano,Eruption Observed,1999 CE,Kuril Islands,Kuril Islands,45.389,148.838,1124,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290110,Rakkibetsudake [Demon],Japan - administered by Russia,Stratovolcano,Evidence Credible,Unknown,Kuril Islands,Kuril Islands,45.5,148.85,1205,No Data (checked),Subduction zone / Intermediate crust (15-25 km),Holocene
290111,Ivao Group,Russia,Pyroclastic cone(s),Evidence Credible,Unknown,Kuril Islands,Kuril Islands,45.77,149.68,1426,No Data (checked),Subduction zone / Intermediate crust (15-25 km),Holocene
290112,Rudakov,Russia,Stratovolcano,Evidence Uncertain,Unknown,Kuril Islands,Kuril Islands,45.874,149.819,532,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290113,Tri Sestry,Russia,Stratovolcano,Evidence Uncertain,Unknown,Kuril Islands,Kuril Islands,45.93,149.92,998,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290120,Kolokol Group,Russia,Stratovolcano,Eruption Observed,1973 CE,Kuril Islands,Kuril Islands,46.042,150.083,1328,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290150,Chirpoi,Russia,Caldera,Eruption Observed,2016 CE,Kuril Islands,Kuril Islands,46.532,150.871,742,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km),Holocene
290160,Unnamed,Russia,Submarine,Eruption Dated,1972 CE,Kuril Islands,Kuril Islands,46.47,151.28,-502,No Data (checked),Subduction zone / Oceanic crust (< 15 km),Holocene
290161,Milna,Russia,Stratovolcano,Eruption Observed,1914 CE,Kuril Islands,Kuril Islands,46.815,151.786,1504,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km),Holocene
290180,Zavaritzki Caldera,Russia,Caldera,Eruption Observed,1957 CE,Kuril Islands,Kuril Islands,46.925,151.95,624,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km),Holocene
290190,Prevo Peak,Russia,Stratovolcano,Eruption Observed,1825 CE,Kuril Islands,Kuril Islands,47.02,152.12,1360,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km),Holocene
290191,Uratman,Russia,Stratovolcano,Evidence Credible,Unknown,Kuril Islands,Kuril Islands,47.12,152.25,678,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km),Holocene
290200,Ketoi,Russia,Stratovolcano,Eruption Observed,1960 CE,Kuril Islands,Kuril Islands,47.35,152.475,1172,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km),Holocene
290210,Ushishur,Russia,Caldera,Eruption Observed,1884 CE,Kuril Islands,Kuril Islands,47.52,152.8,401,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km),Holocene
290211,Srednii,Russia,Submarine,Evidence Credible,Unknown,Kuril Islands,Kuril Islands,47.6,152.92,36,No Data (checked),Subduction zone / Oceanic crust (< 15 km),Holocene
290220,Rasshua,Russia,Stratovolcano,Eruption Observed,1957 CE,Kuril Islands,Kuril Islands,47.77,153.02,956,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km),Holocene
290240,Sarychev Peak,Russia,Stratovolcano,Eruption Observed,2019 CE,Kuril Islands,Kuril Islands,48.092,153.2,1496,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290250,Raikoke,Russia,Stratovolcano,Eruption Observed,2019 CE,Kuril Islands,Kuril Islands,48.292,153.25,551,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km),Holocene
290260,Chirinkotan,Russia,Stratovolcano,Eruption Observed,2017 CE,Kuril Islands,Kuril Islands,48.98,153.48,724,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290270,Ekarma,Russia,Stratovolcano,Eruption Observed,2010 CE,Kuril Islands,Kuril Islands,48.958,153.93,1170,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290290,Sinarka,Russia,Stratovolcano,Eruption Observed,1878 CE,Kuril Islands,Kuril Islands,48.873,154.182,911,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290300,Kharimkotan,Russia,Stratovolcano,Eruption Observed,1933 CE,Kuril Islands,Kuril Islands,49.12,154.508,1145,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290310,Tao-Rusyr Caldera,Russia,Stratovolcano,Eruption Observed,1952 CE,Kuril Islands,Kuril Islands,49.35,154.7,1325,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290320,Nemo Peak,Russia,Caldera,Eruption Observed,1938 CE,Kuril Islands,Kuril Islands,49.57,154.808,1018,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km),Holocene
290331,Shirinki,Russia,Stratovolcano,Evidence Credible,Unknown,Kuril Islands,Kuril Islands,50.2,154.98,761,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
290340,Fuss Peak,Russia,Stratovolcano,Eruption Observed,1854 CE,Kuril Islands,Kuril Islands,50.267,155.246,1742,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
290350,Karpinsky Group,Russia,Cone(s),Eruption Observed,1952 CE,Kuril Islands,Kuril Islands,50.148,155.373,1326,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
290360,Chikurachki,Russia,Stratovolcano(es),Eruption Observed,2016 CE,Kuril Islands,Kuril Islands,50.324,155.461,1781,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km),Holocene
290370,Vernadskii Ridge,Russia,Pyroclastic cone(s),Evidence Credible,Unknown,Kuril Islands,Kuril Islands,50.55,155.97,1183,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
290380,Ebeko,Russia,Stratovolcano,Eruption Observed,2020 CE,Kuril Islands,Kuril Islands,50.686,156.014,1103,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
290390,Alaid,Russia,Stratovolcano,Eruption Observed,2018 CE,Kuril Islands,Kuril Islands,50.861,155.565,2285,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km),Holocene
300001,Mashkovtsev,Russia,Stratovolcano,Evidence Credible,Unknown,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.1,156.72,503,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km),Holocene
300010,Kambalny,Russia,Stratovolcano,Eruption Dated,2017 CE,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.306,156.875,2116,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km),Holocene
300020,Koshelev,Russia,Stratovolcano,Eruption Observed,1690 CE,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.356,156.753,1822,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km),Holocene
300021,Yavinsky,Russia,Stratovolcano,Eruption Dated,4050 BCE,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.533,156.629,646,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km),Holocene
300022,Diky Greben,Russia,Lava dome(s),Eruption Dated,350 CE,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.452,156.978,1040,Dacite,Subduction zone / Continental crust (>25 km),Holocene
300023,Kurile Lake,Russia,Caldera,Eruption Dated,6440 BCE,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.45,157.12,81,Dacite,Subduction zone / Continental crust (>25 km),Holocene
300030,Iliinsky,Russia,Stratovolcano,Eruption Observed,1901 CE,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.498,157.203,1555,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
300040,Zheltovsky,Russia,Stratovolcano,Eruption Observed,1923 CE,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.577,157.328,1926,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km),Holocene
300041,Kell,Russia,Stratovolcano(es),Evidence Credible,Unknown,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.65,157.35,900,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km),Holocene
300042,Belenkaya,Russia,Stratovolcano,Evidence Credible,Unknown,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.75,157.27,892,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km),Holocene
300050,Ksudach,Russia,Stratovolcano,Eruption Observed,1907 CE,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.844,157.572,1079,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
300051,Ozernoy,Russia,Shield,Evidence Credible,Unknown,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.88,157.38,562,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km),Holocene
300052,Olkoviy Volcanic Group,Russia,Volcanic field,Evidence Credible,Unknown,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.02,157.53,681,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km),Holocene
300053,Khodutka,Russia,Stratovolcano(es),Eruption Dated,300 BCE,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.062,157.711,2039,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
